Program,Cache,Write,Replace,Memory,Cache Hit,Cache Miss,Cache Ratio,Cache Total,,,,,,,,,,,,,,
0,1,0,0,1,10,2,83.333,12,,,,,,,,,,,,,,
0,1,0,1,1,10,2,83.333,12,,,,,,,,,,,,,,
0,1,0,2,1,10,2,83.333,12,,,,,,,,,,,,,,
0,1,0,3,1,10,2,83.333,12,,,,,,,,,,,,,,
0,1,0,4,1,10,2,83.333,12,,,,,,,,,,,,,,
0,1,0,5,1,10,2,83.333,12,,,,,,,,,,,,,,
0,1,1,0,0,10,2,83.333,12,,,,,,,,,,,,,,
0,1,1,1,0,10,2,83.333,12,,,,,,,,,,,,,,
0,1,1,2,0,10,2,83.333,12,,,,,,,,,,,,,,
0,1,1,3,0,10,2,83.333,12,,,,,,,,,,,,,,
0,1,1,4,0,10,2,83.333,12,,,,,,,,,,,,,,
0,1,1,5,0,10,2,83.333,12,,,,,,,,,,,,,,
0,2,0,0,1,10,2,83.333,12,,,,,,,,,,,,,,
0,2,0,1,1,10,2,83.333,12,,,,,,,,,,,,,,
0,2,0,2,1,10,2,83.333,12,,,,,,,,,,,,,,
0,2,0,3,1,10,2,83.333,12,,,,,,,,,,,,,,
0,2,0,4,1,10,2,83.333,12,,,,,,,,,,,,,,
0,2,0,5,1,10,2,83.333,12,,,,,,,,,,,,,,
0,2,1,0,0,10,2,83.333,12,,,,,,,,,,,,,,
0,2,1,1,0,10,2,83.333,12,,,,,,,,,,,,,,
0,2,1,2,0,10,2,83.333,12,,,,,,,,,,,,,,
0,2,1,3,0,10,2,83.333,12,,,,,,,,,,,,,,
0,2,1,4,0,10,2,83.333,12,,,,,,,,,,,,,,
0,2,1,5,0,10,2,83.333,12,,,,,,,,,,,,,,
0,3,0,0,1,10,2,83.333,12,,,,,,,,,,,,,,
0,3,0,1,1,10,2,83.333,12,,,,,,,,,,,,,,
0,3,0,2,1,10,2,83.333,12,,,,,,,,,,,,,,
0,3,0,3,1,10,2,83.333,12,,,,,,,,,,,,,,
0,3,0,4,1,10,2,83.333,12,,,,,,,,,,,,,,
0,3,0,5,1,10,2,83.333,12,,,,,,,,,,,,,,
0,3,1,0,0,10,2,83.333,12,,,,,,,,,,,,,,
0,3,1,1,0,10,2,83.333,12,,,,,,,,,,,,,,
0,3,1,2,0,10,2,83.333,12,,,,,,,,,,,,,,
0,3,1,3,0,10,2,83.333,12,,,,,,,,,,,,,,
0,3,1,4,0,10,2,83.333,12,,,,,,,,,,,,,,
0,3,1,5,0,10,2,83.333,12,,,,,,,,,,,,,,
1,1,0,0,2,14,2,87.5,16,,,,,,,,,,,,,,
1,1,0,1,2,14,2,87.5,16,,,,,,,,,,,,,,
1,1,0,2,2,14,2,87.5,16,,,,,,,,,,,,,,
1,1,0,3,2,14,2,87.5,16,,,,,,,,,,,,,,
1,1,0,4,2,14,2,87.5,16,,,,,,,,,,,,,,
1,1,0,5,2,14,2,87.5,16,,,,,,,,,,,,,,
1,1,1,0,0,14,2,87.5,16,,,,,,,,,,,,,,
1,1,1,1,0,14,2,87.5,16,,,,,,,,,,,,,,
1,1,1,2,0,14,2,87.5,16,,,,,,,,,,,,,,
1,1,1,3,0,14,2,87.5,16,,,,,,,,,,,,,,
1,1,1,4,0,14,2,87.5,16,,,,,,,,,,,,,,
1,1,1,5,0,14,2,87.5,16,,,,,,,,,,,,,,
1,2,0,0,2,14,2,87.5,16,,,,,,,,,,,,,,
1,2,0,1,2,14,2,87.5,16,,,,,,,,,,,,,,
1,2,0,2,2,14,2,87.5,16,,,,,,,,,,,,,,
1,2,0,3,2,14,2,87.5,16,,,,,,,,,,,,,,
1,2,0,4,2,14,2,87.5,16,,,,,,,,,,,,,,
1,2,0,5,2,14,2,87.5,16,,,,,,,,,,,,,,
1,2,1,0,0,14,2,87.5,16,,,,,,,,,,,,,,
1,2,1,1,0,14,2,87.5,16,,,,,,,,,,,,,,
1,2,1,2,0,14,2,87.5,16,,,,,,,,,,,,,,
1,2,1,3,0,14,2,87.5,16,,,,,,,,,,,,,,
1,2,1,4,0,14,2,87.5,16,,,,,,,,,,,,,,
1,2,1,5,0,14,2,87.5,16,,,,,,,,,,,,,,
1,3,0,0,2,14,2,87.5,16,,,,,,,,,,,,,,
1,3,0,1,2,14,2,87.5,16,,,,,,,,,,,,,,
1,3,0,2,2,14,2,87.5,16,,,,,,,,,,,,,,
1,3,0,3,2,14,2,87.5,16,,,,,,,,,,,,,,
1,3,0,4,2,14,2,87.5,16,,,,,,,,,,,,,,
1,3,0,5,2,14,2,87.5,16,,,,,,,,,,,,,,
1,3,1,0,0,14,2,87.5,16,,,,,,,,,,,,,,
1,3,1,1,0,14,2,87.5,16,,,,,,,,,,,,,,
1,3,1,2,0,14,2,87.5,16,,,,,,,,,,,,,,
1,3,1,3,0,14,2,87.5,16,,,,,,,,,,,,,,
1,3,1,4,0,14,2,87.5,16,,,,,,,,,,,,,,
1,3,1,5,0,14,2,87.5,16,,,,,,,,,,,,,,
2,1,0,0,206,1959,3,99.847,1962,,,,,,,,,,,,,,
2,1,0,1,206,1959,3,99.847,1962,,,,,,,,,,,,,,
2,1,0,2,206,1959,3,99.847,1962,,,,,,,,,,,,,,
2,1,0,3,206,1959,3,99.847,1962,,,,,,,,,,,,,,
2,1,0,4,206,1959,3,99.847,1962,,,,,,,,,,,,,,
2,1,0,5,206,1959,3,99.847,1962,,,,,,,,,,,,,,
2,1,1,0,0,1959,3,99.847,1962,,,,,,,,,,,,,,
2,1,1,1,0,1959,3,99.847,1962,,,,,,,,,,,,,,
2,1,1,2,0,1959,3,99.847,1962,,,,,,,,,,,,,,
2,1,1,3,0,1959,3,99.847,1962,,,,,,,,,,,,,,
2,1,1,4,0,1959,3,99.847,1962,,,,,,,,,,,,,,
2,1,1,5,0,1959,3,99.847,1962,,,,,,,,,,,,,,
2,2,0,0,206,1959,3,99.847,1962,,,,,,,,,,,,,,
2,2,0,1,206,1959,3,99.847,1962,,,,,,,,,,,,,,
2,2,0,2,206,1959,3,99.847,1962,,,,,,,,,,,,,,
2,2,0,3,206,1959,3,99.847,1962,,,,,,,,,,,,,,
2,2,0,4,206,1959,3,99.847,1962,,,,,,,,,,,,,,
2,2,0,5,206,1959,3,99.847,1962,,,,,,,,,,,,,,
2,2,1,0,0,1959,3,99.847,1962,,,,,,,,,,,,,,
2,2,1,1,0,1959,3,99.847,1962,,,,,,,,,,,,,,
2,2,1,2,0,1959,3,99.847,1962,,,,,,,,,,,,,,
2,2,1,3,0,1959,3,99.847,1962,,,,,,,,,,,,,,
2,2,1,4,0,1959,3,99.847,1962,,,,,,,,,,,,,,
2,2,1,5,0,1959,3,99.847,1962,,,,,,,,,,,,,,
2,3,0,0,206,1959,3,99.847,1962,,,,,,,,,,,,,,
2,3,0,1,206,1959,3,99.847,1962,,,,,,,,,,,,,,
2,3,0,2,206,1959,3,99.847,1962,,,,,,,,,,,,,,
2,3,0,3,206,1959,3,99.847,1962,,,,,,,,,,,,,,
2,3,0,4,206,1959,3,99.847,1962,,,,,,,,,,,,,,
2,3,0,5,206,1959,3,99.847,1962,,,,,,,,,,,,,,
2,3,1,0,0,1959,3,99.847,1962,,,,,,,,,,,,,,
2,3,1,1,0,1959,3,99.847,1962,,,,,,,,,,,,,,
2,3,1,2,0,1959,3,99.847,1962,,,,,,,,,,,,,,
2,3,1,3,0,1959,3,99.847,1962,,,,,,,,,,,,,,
2,3,1,4,0,1959,3,99.847,1962,,,,,,,,,,,,,,
2,3,1,5,0,1959,3,99.847,1962,,,,,,,,,,,,,,
3,1,0,0,41,392,10,97.512,402,,,,,,,,,,,,,,
3,1,0,1,41,392,10,97.512,402,,,,,,,,,,,,,,
3,1,0,2,41,392,10,97.512,402,,,,,,,,,,,,,,
3,1,0,3,41,392,10,97.512,402,,,,,,,,,,,,,,
3,1,0,4,41,392,10,97.512,402,,,,,,,,,,,,,,
3,1,0,5,41,392,10,97.512,402,,,,,,,,,,,,,,
3,1,1,0,0,392,10,97.512,402,,,,,,,,,,,,,,
3,1,1,1,0,392,10,97.512,402,,,,,,,,,,,,,,
3,1,1,2,0,392,10,97.512,402,,,,,,,,,,,,,,
3,1,1,3,0,392,10,97.512,402,,,,,,,,,,,,,,
3,1,1,4,0,392,10,97.512,402,,,,,,,,,,,,,,
3,1,1,5,0,392,10,97.512,402,,,,,,,,,,,,,,
3,2,0,0,41,392,10,97.512,402,,,,,,,,,,,,,,
3,2,0,1,41,392,10,97.512,402,,,,,,,,,,,,,,
3,2,0,2,41,392,10,97.512,402,,,,,,,,,,,,,,
3,2,0,3,41,392,10,97.512,402,,,,,,,,,,,,,,
3,2,0,4,41,392,10,97.512,402,,,,,,,,,,,,,,
3,2,0,5,41,392,10,97.512,402,,,,,,,,,,,,,,
3,2,1,0,0,392,10,97.512,402,,,,,,,,,,,,,,
3,2,1,1,0,392,10,97.512,402,,,,,,,,,,,,,,
3,2,1,2,0,392,10,97.512,402,,,,,,,,,,,,,,
3,2,1,3,0,392,10,97.512,402,,,,,,,,,,,,,,
3,2,1,4,0,392,10,97.512,402,,,,,,,,,,,,,,
3,2,1,5,0,392,10,97.512,402,,,,,,,,,,,,,,
3,3,0,0,41,392,10,97.512,402,,,,,,,,,,,,,,
3,3,0,1,41,392,10,97.512,402,,,,,,,,,,,,,,
3,3,0,2,41,392,10,97.512,402,,,,,,,,,,,,,,
3,3,0,3,41,392,10,97.512,402,,,,,,,,,,,,,,
3,3,0,4,41,392,10,97.512,402,,,,,,,,,,,,,,
3,3,0,5,41,392,10,97.512,402,,,,,,,,,,,,,,
3,3,1,0,0,392,10,97.512,402,,,,,,,,,,,,,,
3,3,1,1,0,392,10,97.512,402,,,,,,,,,,,,,,
3,3,1,2,0,392,10,97.512,402,,,,,,,,,,,,,,
3,3,1,3,0,392,10,97.512,402,,,,,,,,,,,,,,
3,3,1,4,0,392,10,97.512,402,,,,,,,,,,,,,,
3,3,1,5,0,392,10,97.512,402,,,,,,,,,,,,,,
4,1,0,0,153,1748,23,98.701,1771,,,,,,,,,,,,,,
4,1,0,1,153,1748,23,98.701,1771,,,,,,,,,,,,,,
4,1,0,2,153,1748,23,98.701,1771,,,,,,,,,,,,,,
4,1,0,3,153,1748,23,98.701,1771,,,,,,,,,,,,,,
4,1,0,4,153,1748,23,98.701,1771,,,,,,,,,,,,,,
4,1,0,5,153,1748,23,98.701,1771,,,,,,,,,,,,,,
4,1,1,0,0,1748,23,98.701,1771,,,,,,,,,,,,,,
4,1,1,1,0,1748,23,98.701,1771,,,,,,,,,,,,,,
4,1,1,2,0,1748,23,98.701,1771,,,,,,,,,,,,,,
4,1,1,3,0,1748,23,98.701,1771,,,,,,,,,,,,,,
4,1,1,4,0,1748,23,98.701,1771,,,,,,,,,,,,,,
4,1,1,5,0,1748,23,98.701,1771,,,,,,,,,,,,,,
4,2,0,0,153,1745,26,98.532,1771,,,,,,,,,,,,,,
4,2,0,1,153,1745,26,98.532,1771,,,,,,,,,,,,,,
4,2,0,2,153,1745,26,98.532,1771,,,,,,,,,,,,,,
4,2,0,3,153,1745,26,98.532,1771,,,,,,,,,,,,,,
4,2,0,4,153,1745,26,98.532,1771,,,,,,,,,,,,,,
4,2,0,5,153,1745,26,98.532,1771,,,,,,,,,,,,,,
4,2,1,0,6,1745,26,98.532,1771,,,,,,,,,,,,,,
4,2,1,1,6,1745,26,98.532,1771,,,,,,,,,,,,,,
4,2,1,2,6,1745,26,98.532,1771,,,,,,,,,,,,,,
4,2,1,3,6,1745,26,98.532,1771,,,,,,,,,,,,,,
4,2,1,4,6,1745,26,98.532,1771,,,,,,,,,,,,,,
4,2,1,5,6,1745,26,98.532,1771,,,,,,,,,,,,,,
4,3,0,0,153,1745,26,98.532,1777,,,,,,,,,,,,,,
4,3,0,1,153,1742,29,98.363,1771,,,,,,,,,,,,,,
4,3,0,2,153,1745,26,98.532,1795,,,,,,,,,,,,,,
4,3,0,3,153,1745,26,98.532,1795,,,,,,,,,,,,,,
4,3,0,4,153,1745,26,98.532,1777,,,,,,,,,,,,,,
4,3,0,5,153,1745,26,98.532,1777,,,,,,,,,,,,,,
4,3,1,0,6,1745,26,98.532,1777,,,,,,,,,,,,,,
4,3,1,1,6,1745,26,98.532,1771,,,,,,,,,,,,,,
4,3,1,2,6,1745,26,98.532,1795,,,,,,,,,,,,,,
4,3,1,3,6,1745,26,98.532,1795,,,,,,,,,,,,,,
4,3,1,4,6,1745,26,98.532,1777,,,,,,,,,,,,,,
4,3,1,5,6,1745,26,98.532,1777,,,,,,,,,,,,,,
5,1,0,0,494,4316,11,99.746,4327,,,,,,,,,,,,,,
5,1,0,1,494,4316,11,99.746,4327,,,,,,,,,,,,,,
5,1,0,2,494,4316,11,99.746,4327,,,,,,,,,,,,,,
5,1,0,3,494,4316,11,99.746,4327,,,,,,,,,,,,,,
5,1,0,4,494,4316,11,99.746,4327,,,,,,,,,,,,,,
5,1,0,5,494,4316,11,99.746,4327,,,,,,,,,,,,,,
5,1,1,0,0,4316,11,99.746,4327,,,,,,,,,,,,,,
5,1,1,1,0,4316,11,99.746,4327,,,,,,,,,,,,,,
5,1,1,2,0,4316,11,99.746,4327,,,,,,,,,,,,,,
5,1,1,3,0,4316,11,99.746,4327,,,,,,,,,,,,,,
5,1,1,4,0,4316,11,99.746,4327,,,,,,,,,,,,,,
5,1,1,5,0,4316,11,99.746,4327,,,,,,,,,,,,,,
5,2,0,0,494,4316,11,99.746,4327,,,,,,,,,,,,,,
5,2,0,1,494,4316,11,99.746,4327,,,,,,,,,,,,,,
5,2,0,2,494,4316,11,99.746,4327,,,,,,,,,,,,,,
5,2,0,3,494,4316,11,99.746,4327,,,,,,,,,,,,,,
5,2,0,4,494,4316,11,99.746,4327,,,,,,,,,,,,,,
5,2,0,5,494,4316,11,99.746,4327,,,,,,,,,,,,,,
5,2,1,0,0,4316,11,99.746,4327,,,,,,,,,,,,,,
5,2,1,1,0,4316,11,99.746,4327,,,,,,,,,,,,,,
5,2,1,2,0,4316,11,99.746,4327,,,,,,,,,,,,,,
5,2,1,3,0,4316,11,99.746,4327,,,,,,,,,,,,,,
5,2,1,4,0,4316,11,99.746,4327,,,,,,,,,,,,,,
5,2,1,5,0,4316,11,99.746,4327,,,,,,,,,,,,,,
5,3,0,0,494,4316,11,99.746,4327,,,,,,,,,,,,,,
5,3,0,1,494,4316,11,99.746,4327,,,,,,,,,,,,,,
5,3,0,2,494,4316,11,99.746,4327,,,,,,,,,,,,,,
5,3,0,3,494,4316,11,99.746,4327,,,,,,,,,,,,,,
5,3,0,4,494,4316,11,99.746,4327,,,,,,,,,,,,,,
5,3,0,5,494,4316,11,99.746,4327,,,,,,,,,,,,,,
5,3,1,0,0,4316,11,99.746,4327,,,,,,,,,,,,,,
5,3,1,1,0,4316,11,99.746,4327,,,,,,,,,,,,,,
5,3,1,2,0,4316,11,99.746,4327,,,,,,,,,,,,,,
5,3,1,3,0,4316,11,99.746,4327,,,,,,,,,,,,,,
5,3,1,4,0,4316,11,99.746,4327,,,,,,,,,,,,,,
5,3,1,5,0,4316,11,99.746,4327,,,,,,,,,,,,,,
6,1,0,0,1026130,30423693,67548,99.778,30558661,,,,,,,,,,,,,,
6,1,0,1,1026130,30423532,67709,99.778,30491241,,,,,,,,,,,,,,
6,1,0,2,1026130,30425532,65709,99.785,34688425,,,,,,,,,,,,,,
6,1,0,3,1026130,29297572,1193669,96.085,106877865,,,,,,,,,,,,,,
6,1,0,4,1026130,30423693,67548,99.778,30626017,,,,,,,,,,,,,,
6,1,0,5,1026130,30423693,67548,99.778,30760742,,,,,,,,,,,,,,
6,1,1,0,1831,30423693,67548,99.778,30558661,,,,,,,,,,,,,,
6,1,1,1,1829,30423479,67762,99.778,30491241,,,,,,,,,,,,,,
6,1,1,2,826,30425532,65709,99.785,34688425,,,,,,,,,,,,,,
6,1,1,3,655,29297572,1193669,96.085,106877865,,,,,,,,,,,,,,
6,1,1,4,1831,30423693,67548,99.778,30626017,,,,,,,,,,,,,,
6,1,1,5,1831,30423693,67548,99.778,30760742,,,,,,,,,,,,,,
6,2,0,0,1026130,29970022,521219,98.291,30491241,,,,,,,,,,,,,,
6,2,0,1,1026130,29970022,521219,98.291,30491241,,,,,,,,,,,,,,
6,2,0,2,1026130,29970022,521219,98.291,30491241,,,,,,,,,,,,,,
6,2,0,3,1026130,29970022,521219,98.291,30491241,,,,,,,,,,,,,,
6,2,0,4,1026130,29970022,521219,98.291,30491241,,,,,,,,,,,,,,
6,2,0,5,1026130,29970022,521219,98.291,30491241,,,,,,,,,,,,,,
6,2,1,0,172396,29970022,521219,98.291,30491241,,,,,,,,,,,,,,
6,2,1,1,172396,29970022,521219,98.291,30491241,,,,,,,,,,,,,,
6,2,1,2,172396,29970022,521219,98.291,30491241,,,,,,,,,,,,,,
6,2,1,3,172396,29970022,521219,98.291,30491241,,,,,,,,,,,,,,
6,2,1,4,172396,29970022,521219,98.291,30491241,,,,,,,,,,,,,,
6,2,1,5,172396,29970022,521219,98.291,30491241,,,,,,,,,,,,,,
6,3,0,0,1026130,30417118,74123,99.757,30565332,,,,,,,,,,,,,,
6,3,0,1,1026130,30413845,77396,99.746,30491241,,,,,,,,,,,,,,
6,3,0,2,1026130,30235526,255715,99.161,31513973,,,,,,,,,,,,,,
6,3,0,3,1026130,29986986,504255,98.346,32508133,,,,,,,,,,,,,,
6,3,0,4,1026130,30417118,74123,99.757,30639403,,,,,,,,,,,,,,
6,3,0,5,1026130,30417118,74123,99.757,30787539,,,,,,,,,,,,,,
6,3,1,0,5137,30417118,74123,99.757,30565332,,,,,,,,,,,,,,
6,3,1,1,5427,30413817,77424,99.746,30491241,,,,,,,,,,,,,,
6,3,1,2,770,30235526,255715,99.161,31513973,,,,,,,,,,,,,,
6,3,1,3,747,29986986,504255,98.346,32508133,,,,,,,,,,,,,,
6,3,1,4,5137,30417118,74123,99.757,30639403,,,,,,,,,,,,,,
6,3,1,5,5137,30417118,74123,99.757,30787539,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
